asset_id,canonical_name,asset_type,address_text,current_pnu,match_status,proposed_pnu,matched_address,matched_category,match_score,match_reasons,longitude,latitude
ast_7f66d2a674c4,동일타워,오피스,서울특별시 강남구 대치동 1004,,safe,1168010600110040000,서울특별시 강남구 대치동 1004,parcel,12,token:서울특별시;token:강남구;token:대치동;lot:1004,127.0669361035621,37.50707036435792
ast_d052165ba593,NC백화점(강서),리테일,서울특별시 강서구 등촌동 689번지 외 2필지,,safe,1150010200106890000,서울특별시 강서구 등촌동 689,parcel,12,token:서울특별시;token:강서구;token:등촌동;lot:689,126.84039846690605,37.560087766931055
ast_97eee497ab45,PFV_Lotus (지분증권),호텔복합,서울특별시 종로구 관훈동 155-2 외 4필지,,safe,1111012800101550002,서울특별시 종로구 관훈동 155-2,parcel,12,token:서울특별시;token:종로구;token:관훈동;lot:155-2,126.98379205533436,37.574560943003
ast_4b461cc661b2,포도몰,리테일,서울특별시 관악구 신림동 1641-2,,safe,1162010200116410002,서울특별시 관악구 신림동 1641-2,parcel,12,token:서울특별시;token:관악구;token:신림동;lot:1641-2,126.93018609240423,37.483847234574526
ast_4e9c841b327e,와이플러스빌딩,리테일,서울특별시 강남구 신사동 533-3,,safe,1168010700105330003,서울특별시 강남구 신사동 533-3,parcel,12,token:서울특별시;token:강남구;token:신사동;lot:533-3,127.0224305448551,37.52217878286065
ast_791b962e0c10,삼일빌딩,오피스,서울시 종로구 관철동 10-2 및 7-3,,safe,1111013500100100002,서울특별시 종로구 관철동 10-2,parcel,10,token:종로구;token:관철동;lot:10-2,126.9871707224284,37.56859604937492
ast_b3f61c8578bc,Courtyard by Marriott Portfolio Senior Mezzanine Loan,호텔,아래 자산별 상세 내역,,not_found,,,,,,,
ast_ec6dcc378dcf,(주)페트로코너지 발행 지분증권 및 투자대상회사(이지스페트로코너지(주))에 대한 대출채권,,"경남 양산시 상북면 효충2길13(페트로콕증기생산시설), 경기 시흥시 서울대학로 59-5 배곧가압장(연료전지",,not_found,,,,,,,
ast_790533b0da44,"NH농협생명빌딩 서관(구, 임광빌딩 본관)",오피스,서울특별시 서대문구 미근동 267,,safe,1141010400102670000,서울특별시 서대문구 미근동 267,parcel,12,token:서울특별시;token:서대문구;token:미근동;lot:267,126.96873488349732,37.56236576106109
ast_3394bcf0a0cd,"부산시 사상구 괘법동 오피스텔, 도시형생활주택 및 근린생활시설 신축사업",오피스복합,부산시 사상구 괘법동 564-8번지,,safe,2653010400105640008,부산광역시 사상구 괘법동 564-8,parcel,10,token:사상구;token:괘법동;lot:564-8,128.98229555901628,35.161922965663464
ast_7bb76c255a79,신정동 근린생활시설,리테일,서울 양천구 신정동 329-10번지,,safe,1147010100103290010,서울특별시 양천구 신정동 329-10,parcel,12,token:서울;token:양천구;token:신정동;lot:329-10,126.87052588273427,37.518951507953986
ast_2901ee96b420,광교 아이파크 주상복합 내 판매시설 선순위 담보 대출채권,리테일,경기도 수원시 영통구 원천동 593번지 일원,,safe,4111710200105930000,경기도 수원시 영통구 원천동 593,parcel,14,token:경기도;token:수원시;token:영통구;token:원천동;lot:593,127.06094536687598,37.27372652583924
ast_08c6f4e86f22,군산수상태양광 PF대출,,전라북도 군산시 비응도동 19,,safe,5213014800100190000,전북특별자치도 군산시 비응도동 19,parcel,10,token:군산시;token:비응도동;lot:19,126.52600084965414,35.955445151335866
ast_6be590f974c1,누디트 홍대,호텔복합,서울특별시 서교동 460-25,,safe,1144012000104600025,서울특별시 마포구 서교동 460-25,parcel,10,token:서울특별시;token:서교동;lot:460-25,126.91682741291842,37.55624182650921
ast_5fedae1c0415,송도 센토피아더샵 공동주택 및 근린생활시설 개발사업 PF Refinancing 대출채권,주거,인천광역시 연수구 송도동 308-1 일원,,safe,2818510600103080001,인천광역시 연수구 송도동 308-1,parcel,12,token:인천광역시;token:연수구;token:송도동;lot:308-1,126.61206986502944,37.412074961577574
ast_5827261360b4,선릉위워크타워,오피스,서울특별시 강남구 테헤란로302(역삼동 706),,safe,1168010100107060000,역삼동 706,road,7,token:역삼동;lot:706,127.04356309689808,37.50249173939364
ast_bb50a5baa03a,평택아디다스물류센터,물류센터,경기도 평택시 도일유통길 64(도일동 1175-3),,safe,4122010600111750003,도일동 1175-3,road,7,token:도일동;lot:1175-3,127.10557017754222,37.03723559416221
ast_79c9f274cd28,안성 홈플러스 중부허브 물류센터,물류센터,경기도 안성시 원곡면 칠곡리 941번지,,safe,4155038022109410000,경기도 안성시 원곡면 칠곡리 941,parcel,14,token:경기도;token:안성시;token:원곡면;token:칠곡리;lot:941,127.16739772363374,37.0487099308822
ast_ca7e42523746,시온솔라,,경북 영천시 북안면 효리 산82-1,,not_found,,,,,,,
ast_7773542720e0,"NH농협생명빌딩 동관(구, 임광빌딩 신관)",오피스,서울특별시 서대문구 미근동 257,,safe,1141010400102570000,서울특별시 서대문구 미근동 257,parcel,12,token:서울특별시;token:서대문구;token:미근동;lot:257,126.96854821702382,37.56274849442844
